covid_movement_id,all_day_bing_tiles_visited_relative_change,all_day_ratio_single_tile_users,covid_movement_date
2570918,-0.08255,0.16018,2020-03-15
2570919,-0.06185,0.12922999999999998,2020-03-16
2570920,-0.07249,0.15552,2020-03-17
2570921,-0.13772,0.16224,2020-03-18
2570922,-0.18365,0.16476,2020-03-19
2570923,-0.23968000000000003,0.1689,2020-03-20
2570924,-0.24698,0.18647,2020-03-21
2570925,-0.2624,0.23240999999999998,2020-03-22
2570926,-0.24709,0.20018,2020-03-23
2570927,-0.30204000000000003,0.21166999999999997,2020-03-24
2570928,-0.29611,0.22956999999999997,2020-03-25
2570929,-0.33549,0.2298,2020-03-26
2570930,-0.3323,0.24821,2020-03-27
2570931,-0.39929000000000003,0.26483,2020-03-28
2570932,-0.43917,0.33098,2020-03-29
2570933,-0.30996999999999997,0.24982,2020-03-30
2570934,-0.30533000000000005,0.22810999999999998,2020-03-31
2570935,-0.31903000000000004,0.22639,2020-04-01
2570936,-0.33562,0.23558,2020-04-02
2570937,-0.34218000000000004,0.25046999999999997,2020-04-03
2570938,-0.36732,0.25361,2020-04-04
2570939,-0.40102,0.32095,2020-04-05
2570940,-0.33455999999999997,0.23519,2020-04-06
2570941,-0.38968,0.25365,2020-04-07
2570942,-0.38038,0.25527,2020-04-08
2570943,-0.36574,0.27316999999999997,2020-04-09
2570944,-0.52675,0.28945,2020-04-10
2570945,-0.43935,0.29177,2020-04-11
2570946,-0.45074,0.35046,2020-04-12
2570947,-0.52198,0.30166,2020-04-13
2570948,-0.3309,0.27005999999999997,2020-04-14
2570949,-0.36305,0.27142,2020-04-15
2570950,-0.40624,0.27264,2020-04-16
2570951,-0.38993,0.26992,2020-04-17
2570952,-0.41441000000000006,0.27169,2020-04-18
2570953,-0.45211999999999997,0.34892,2020-04-19
2570954,-0.35609,0.26716,2020-04-20
2570955,-0.38118,0.27532,2020-04-21
2570956,-0.3654,0.25945,2020-04-22
2570957,-0.37934,0.27299,2020-04-23
2570958,-0.38278,0.25311999999999996,2020-04-24
2570959,-0.40071999999999997,0.29056,2020-04-25
2570960,-0.4907,0.35225,2020-04-26
2570961,-0.32491,0.25115,2020-04-27
2570962,-0.32677,0.23984,2020-04-28
2570963,-0.32529,0.25466,2020-04-29
2570964,-0.3352,0.25335,2020-04-30
2570965,-0.42167,0.26621,2020-05-01
2570966,-0.37334,0.25855,2020-05-02
2570967,-0.39264,0.29764,2020-05-03
2570968,-0.26397,0.23884,2020-05-04
2570969,-0.30359,0.22411,2020-05-05
2570970,-0.2932,0.23529,2020-05-06
2570971,-0.30328,0.2318,2020-05-07
2570972,-0.31549,0.2337,2020-05-08
2570973,-0.33189,0.23464000000000002,2020-05-09
2570974,-0.38008000000000003,0.28913,2020-05-10
2570975,-0.2131,0.22114,2020-05-11
2570976,-0.2782,0.21763000000000002,2020-05-12
2570977,-0.2815,0.22215,2020-05-13
2570978,-0.29535,0.23789000000000002,2020-05-14
2570979,-0.32428,0.22441,2020-05-15
2570980,-0.29315,0.22744,2020-05-16
2570981,-0.33549,0.2867,2020-05-17
2570982,-0.19702999999999998,0.20961,2020-05-18
2570983,-0.24103000000000002,0.19957,2020-05-19
2570984,-0.23994000000000001,0.21927,2020-05-20
2570985,-0.25211,0.20876,2020-05-21
2570986,-0.25682,0.21086,2020-05-22
2570987,-0.2677,0.22482,2020-05-23
2570988,-0.32538,0.27894,2020-05-24
2570989,-0.38349,0.22107,2020-05-25
2570990,-0.22204000000000002,0.20526999999999998,2020-05-26
2570991,-0.21488000000000002,0.22894,2020-05-27
2570992,-0.20872,0.21276,2020-05-28
2570993,-0.22223,0.20049,2020-05-29
2570994,-0.24078000000000002,0.22805999999999998,2020-05-30
2570995,-0.26445,0.27428,2020-05-31
2570996,-0.33437,0.24236,2020-06-01
2570997,-0.16339,0.19652999999999998,2020-06-02
2570998,-0.17265999999999998,0.19988,2020-06-03
2570999,-0.21009,0.22018000000000001,2020-06-04
2571000,-0.2335,0.20475,2020-06-05
2571001,-0.23917,0.22315,2020-06-06
2571002,-0.2991,0.26726,2020-06-07
2571003,-0.13452,0.1892,2020-06-08
2571004,-0.15016,0.18497,2020-06-09
2571005,-0.16876,0.20799,2020-06-10
2571006,-0.15917,0.18896,2020-06-11
2571007,-0.1633,0.20496,2020-06-12
2571008,-0.20157,0.20876999999999998,2020-06-13
2571009,-0.22008000000000003,0.24520999999999998,2020-06-14
2571010,-0.11329000000000002,0.18135,2020-06-15
2571011,-0.12362000000000001,0.18795,2020-06-16
2571012,-0.15504,0.19891,2020-06-17
2571013,-0.18638,0.17845999999999998,2020-06-18
2571014,-0.20332,0.18905999999999998,2020-06-19
2571015,-0.19483,0.1952,2020-06-20
2571016,-0.26723,0.2499,2020-06-21
2571017,-0.15269000000000002,0.19136,2020-06-22
2571018,-0.13363,0.19618,2020-06-23
2571019,-0.16103,0.19705999999999999,2020-06-24
2571020,-0.16694,0.19439,2020-06-25
2571021,-0.16965,0.18692,2020-06-26
2571022,-0.19810999999999998,0.18307,2020-06-27
2571023,-0.21231999999999998,0.23542,2020-06-28
2571024,-0.11557,0.16153,2020-06-29
2571025,-0.10824,0.17707,2020-06-30
2571026,-0.13865999999999998,0.17511,2020-07-01
2571027,-0.1483,0.16851,2020-07-02
2571028,-0.17636,0.17331,2020-07-03
2571029,-0.11609000000000001,0.1702,2020-07-04
2571030,-0.14269,0.22246999999999997,2020-07-05
2571031,-0.11427000000000001,0.16651,2020-07-06
2571032,-0.05926,0.15880999999999998,2020-07-07
2571033,-0.08644,0.16446,2020-07-08
2571034,-0.13035,0.1683,2020-07-09
2571035,-0.14312,0.16993,2020-07-10
2571036,-0.11183,0.17195,2020-07-11
2571037,-0.12800999999999998,0.22374000000000002,2020-07-12
2571038,-0.08611,0.17367,2020-07-13
2571039,-0.08227000000000001,0.1553,2020-07-14
2571040,-0.09565,0.17536,2020-07-15
2571041,-0.12305999999999999,0.17389000000000002,2020-07-16
2571042,-0.13485999999999998,0.1859,2020-07-17
2571043,-0.17595,0.18852,2020-07-18
2571044,-0.22891,0.23005,2020-07-19
2571045,-0.14957,0.17833,2020-07-20
2571046,-0.15467999999999998,0.1853,2020-07-21
2571047,-0.10136,0.19610999999999998,2020-07-22
2571048,-0.13335999999999998,0.17379,2020-07-23
2571049,-0.13677,0.18725,2020-07-24
2571050,-0.12347999999999999,0.18684,2020-07-25
2571051,-0.17709,0.21963000000000002,2020-07-26
2571052,-0.0702,0.18545,2020-07-27
2571053,-0.08839,0.18575,2020-07-28
2571054,-0.13548,0.17924,2020-07-29
2571055,-0.0674,0.16477999999999998,2020-07-30
2571056,-0.22544,0.18689,2020-07-31
2571057,-0.11402000000000001,0.1797,2020-08-01
2571058,-0.12604,0.18957000000000002,2020-08-02
2571059,-0.07493999999999999,0.16609000000000002,2020-08-03
2571060,-0.05069,0.15599000000000002,2020-08-04
2571061,-0.07531,0.16184,2020-08-05
2571062,-0.11239,0.16404000000000002,2020-08-06
2571063,-0.11723,0.16585,2020-08-07
2571064,-0.07946,0.17337,2020-08-08
2571065,-0.12460999999999998,0.20801,2020-08-09
2571066,-0.09116,0.1557,2020-08-10
2571067,-0.11344000000000001,0.1903,2020-08-11
2571068,-0.09424,0.17496,2020-08-12
2571069,-0.1202,0.17465999999999998,2020-08-13
2571070,-0.09486,0.16182,2020-08-14
2571071,-0.12564,0.17682,2020-08-15
2571072,-0.14765,0.20158,2020-08-16
2571073,-0.09158,0.16973,2020-08-17
2571074,-0.058120000000000005,0.16053,2020-08-18
2571075,-0.05144,0.17346,2020-08-19
2571076,-0.11152999999999999,0.16674,2020-08-20
2571077,-0.12062,0.17019,2020-08-21
2571078,-0.07113,0.18966,2020-08-22
2571079,-0.16544,0.22241,2020-08-23
2571080,-0.0949,0.1623,2020-08-24
2571081,-0.01326,0.16322,2020-08-25
2571082,-0.09575,0.15664,2020-08-26
2571083,0.00161,0.15569000000000002,2020-08-27
